,CustomerID,Recency,Frequency,Monetary,Norm_Recency,Norm_Frequency,Norm_Monetary,features,prediction
0,14646,1,74,280206.02,-1.9285897035179804,2.22802133090913,3.878920067151451,"[-1.9285897035179804,2.22802133090913,3.878920067151451]",1
1,18102,0,60,259657.3,-2.225966985216483,2.189298290448075,3.8400444926177806,"[-2.225966985216483,2.189298290448075,3.8400444926177806]",1
2,17450,8,46,194390.79,-1.1591971456374945,2.1308434506649894,3.6902153805923086,"[-1.1591971456374945,2.1308434506649894,3.6902153805923086]",1
3,16446,0,2,168472.5,-2.225966985216483,-0.19547892457002974,3.6149313866326467,"[-2.225966985216483,-0.19547892457002974,3.6149313866326467]",1
4,14911,1,201,143711.17,-1.9285897035179804,2.348232123002597,3.5303361916009375,"[-1.9285897035179804,2.348232123002597,3.5303361916009375]",1
5,12415,24,21,124914.53,-0.5216459665729891,1.876428107793586,3.454890925368388,"[-0.5216459665729891,1.876428107793586,3.454890925368388]",1
6,14156,9,55,117210.08,-1.0981169999911686,2.1713923655754894,3.4203614608750437,"[-1.0981169999911686,2.1713923655754894,3.4203614608750437]",1
7,17511,2,31,91062.38,-1.7388816993725662,2.0203487973752523,3.281799102201315,"[-1.7388816993725662,2.0203487973752523,3.281799102201315]",1
8,16029,38,63,80850.84,-0.21024138709733864,2.198848853852006,3.215586123209898,"[-0.21024138709733864,2.198848853852006,3.215586123209898]",1
9,12346,325,1,77183.6,1.620338761728821,-1.1580919747071228,3.1895824997798394,"[1.620338761728821,-1.1580919747071228,3.1895824997798394]",0
10,16684,4,28,66653.56,-1.481859877351806,1.98643379819845,3.106810571707829,"[-1.481859877351806,1.98643379819845,3.106810571707829]",1
11,14096,4,17,65164.79,-1.481859877351806,1.7806292000389574,3.093981398241443,"[-1.481859877351806,1.7806292000389574,3.093981398241443]",1
12,13694,3,50,65039.62,-1.596697006231016,2.1504232328024147,3.092888433163234,"[-1.596697006231016,2.1504232328024147,3.092888433163234]",1
13,15311,0,91,60632.75,-2.225966985216483,2.260745866586579,3.052895221431961,"[-2.225966985216483,2.260745866586579,3.052895221431961]",1
14,13089,2,97,58762.08,-1.7388816993725662,2.269874099552393,3.034963004162784,"[-1.7388816993725662,2.269874099552393,3.034963004162784]",1
15,17949,1,45,58510.48,-1.9285897035179804,2.125481471647191,3.0325044056796147,"[-1.9285897035179804,2.125481471647191,3.0325044056796147]",1
16,15769,7,26,56252.72,-1.2262828243430552,1.9601659544190433,3.009919314528157,"[-1.2262828243430552,1.9601659544190433,3.009919314528157]",1
17,15061,3,48,54534.14,-1.596697006231016,2.140985863550376,2.9920641226121347,"[-1.596697006231016,2.140985863550376,2.9920641226121347]",1
18,14298,8,44,51527.3,-1.1591971456374945,2.1199098146416637,2.9593179352926398,"[-1.1591971456374945,2.1199098146416637,2.9593179352926398]",1
19,14088,10,13,50491.81,-1.0419781099652208,1.6379545403918434,2.947562539762433,"[-1.0419781099652208,1.6379545403918434,2.947562539762433]",1
20,15749,235,3,44534.3,1.3006012522603616,0.3275372915037207,2.874457023118342,"[1.3006012522603616,0.3275372915037207,2.874457023118342]",0
21,12931,21,15,42055.96,-0.6071798798741489,1.7171647265128058,2.840885261656455,"[-0.6071798798741489,1.7171647265128058,2.840885261656455]",1
22,17841,1,124,40519.84,-1.9285897035179804,2.3011890879256565,2.8189905338901586,"[-1.9285897035179804,2.3011890879256565,2.8189905338901586]",1
23,15098,182,3,39916.5,1.060139682285852,0.3275372915037207,2.8101456202022055,"[1.060139682285852,0.3275372915037207,2.8101456202022055]",0
24,13798,1,57,37153.85,-1.9285897035179804,2.1788813494536132,2.7677201131520754,"[-1.9285897035179804,2.1788813494536132,2.7677201131520754]",1
25,16013,3,47,37130.6,-1.596697006231016,2.1360078569554273,2.767348820185885,"[-1.596697006231016,2.1360078569554273,2.767348820185885]",1
26,16422,17,51,34684.4,-0.7380040696052623,2.1549010326341307,2.7268196183789586,"[-0.7380040696052623,2.1549010326341307,2.7268196183789586]",1
27,15838,11,19,33643.08,-0.9899818710497719,1.8327563343079647,2.708623980267802,"[-0.9899818710497719,1.8327563343079647,2.708623980267802]",1
28,12748,0,210,33053.19,-2.225966985216483,2.3517105913991108,2.698045633937369,"[-2.225966985216483,2.3517105913991108,2.698045633937369]",1
29,17404,4,15,31906.82,-1.481859877351806,1.7171647265128058,2.676894568756835,"[-1.481859877351806,1.7171647265128058,2.676894568756835]",1
30,17389,0,34,31833.68,-2.225966985216483,2.049080430919832,2.6755174665451573,"[-2.225966985216483,2.049080430919832,2.6755174665451573]",1
31,13098,1,28,28882.44,-1.9285897035179804,1.98643379819845,2.6169160685676855,"[-1.9285897035179804,1.98643379819845,2.6169160685676855]",1
32,14680,25,16,28754.11,-0.49505404695449573,1.750543867637957,2.6142234917905682,"[-0.49505404695449573,1.750543867637957,2.6142234917905682]",1
33,13081,11,11,28337.38,-0.9899818710497719,1.5358725302903797,2.605389813784931,"[-0.9899818710497719,1.5358725302903797,2.605389813784931]",1
34,13408,1,62,28117.04,-1.9285897035179804,2.1957545434379284,2.600662477889159,"[-1.9285897035179804,2.1957545434379284,2.600662477889159]",1
35,17857,4,23,26879.04,-1.481859877351806,1.9136127568819516,2.573338109792525,"[-1.481859877351806,1.9136127568819516,2.573338109792525]",1
36,16333,7,22,26626.8,-1.2262828243430552,1.8957335897141063,2.567604883521426,"[-1.2262828243430552,1.8957335897141063,2.567604883521426]",1
37,13777,0,33,25977.16,-2.225966985216483,2.0400008145773305,2.552565822322049,"[-2.225966985216483,2.0400008145773305,2.552565822322049]",1
38,12753,22,6,21429.39,-0.5776332365110852,1.067664385756613,2.4344205555110596,"[-0.5776332365110852,1.067664385756613,2.4344205555110596]",1
39,12744,51,7,21279.29,0.0032235155937343813,1.2022036523313178,2.4300728423602,"[0.0032235155937343813,1.2022036523313178,2.4300728423602]",1
40,16210,1,18,21086.3,-1.9285897035179804,1.807903032405128,2.4244340713852184,"[-1.9285897035179804,1.807903032405128,2.4244340713852184]",1
41,17675,1,31,20374.28,-1.9285897035179804,2.0203487973752523,2.403139247228206,"[-1.9285897035179804,2.0203487973752523,2.403139247228206]",1
42,17381,8,29,20275.61,-1.1591971456374945,1.9984028552209947,2.4001252311480705,"[-1.1591971456374945,1.9984028552209947,2.4001252311480705]",1
43,12471,2,30,19788.65,-1.7388816993725662,2.009688090358304,2.38501552426618,"[-1.7388816993725662,2.009688090358304,2.38501552426618]",1
44,15039,9,47,19766.59,-1.0981169999911686,2.1360078569554273,2.3843215906100053,"[-1.0981169999911686,2.1360078569554273,2.3843215906100053]",1
45,12731,23,12,18895.91,-0.5491486412944574,1.5903781155223493,2.3562467300706684,"[-0.5491486412944574,1.5903781155223493,2.3562467300706684]",1
46,15159,1,30,18641.01,-1.9285897035179804,2.009688090358304,2.3477635818854186,"[-1.9285897035179804,2.009688090358304,2.3477635818854186]",1
47,12901,8,28,17654.54,-1.1591971456374945,1.98643379819845,2.313715393870163,"[-1.1591971456374945,1.98643379819845,2.313715393870163]",1
48,12678,42,12,17628.46,-0.13887993172542565,1.5903781155223493,2.3127876748131087,"[-0.13887993172542565,1.5903781155223493,2.3127876748131087]",1
49,14031,7,19,17286.86,-1.2262828243430552,1.8327563343079647,2.300498123848963,"[-1.2262828243430552,1.8327563343079647,2.300498123848963]",1
50,17428,0,28,17256.85,-2.225966985216483,1.98643379819845,2.299406010707937,"[-2.225966985216483,1.98643379819845,2.299406010707937]",1
51,13767,2,37,17220.36,-1.7388816993725662,2.0737711050852536,2.2980753241319016,"[-1.7388816993725662,2.0737711050852536,2.2980753241319016]",1
