CustomerID,Recency,Frequency,Monetary,YJ_Recency,YJ_Frequency,YJ_Monetary,Norm_Recency,Norm_Frequency,Norm_Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
14646,1,74,280206.02,0.7326365737214187,1.260166407703317,8.096066986590168,-1.9285897035179804,2.22802133090913,3.878920067151451,4,4,4,444,12,BEST
18102,0,60,259657.3,0.0,1.2519089018198968,8.066536075071573,-2.225966985216483,2.189298290448075,3.8400444926177806,4,4,4,444,12,BEST
17450,8,46,194390.79,2.6281583978256946,1.239443682723564,7.9527219307609425,-1.1591971456374945,2.1308434506649894,3.6902153805923086,4,4,4,444,12,BEST
16446,0,2,168472.5,0.0,0.7433663997541414,7.895534223799501,-2.225966985216483,-0.19547892457002974,3.6149313866326467,4,2,4,424,10,AVERAGE
14911,1,201,143711.17,0.7326365737214187,1.285800792584864,7.831273482978398,-1.9285897035179804,2.348232123002597,3.5303361916009375,4,4,4,444,12,BEST
12415,24,21,124914.53,4.198867864043206,1.1851908098711377,7.773963269345913,-0.5216459665729891,1.876428107793586,3.454890925368388,3,4,4,344,11,BEST
14156,9,55,117210.08,2.778639121750325,1.2480905477283022,7.74773377761572,-1.0981169999911686,2.1713923655754894,3.4203614608750437,4,4,4,444,12,BEST
17511,2,31,91062.38,1.2000126334216925,1.2158812186514538,7.642478156242004,-1.7388816993725662,2.0203487973752523,3.281799102201315,4,4,4,444,12,BEST
16029,38,63,80850.84,4.966062933031384,1.2539455144556544,7.592181031442354,-0.21024138709733864,2.198848853852006,3.215586123209898,3,4,4,344,11,BEST
12346,325,1,77183.6,9.475990391169132,0.5380937034389222,7.572427993400155,1.620338761728821,-1.1580919747071228,3.1895824997798394,1,1,4,114,6,OTHER
16684,4,28,66653.56,1.8332270672258142,1.208649004912445,7.509552254239027,-1.481859877351806,1.98643379819845,3.106810571707829,4,4,4,444,12,BEST
14096,4,17,65164.79,1.8332270672258142,1.1647621442759175,7.499806875783864,-1.481859877351806,1.7806292000389574,3.093981398241443,4,4,4,444,12,BEST
13694,3,50,65039.62,1.5503074031629458,1.2436189789882899,7.4989766306902625,-1.596697006231016,2.1504232328024147,3.092888433163234,4,4,4,444,12,BEST
15311,0,91,60632.75,0.0,1.2671447607115345,7.468596732485601,-2.225966985216483,2.260745866586579,3.052895221431961,4,4,4,444,12,BEST
13089,2,97,58762.08,1.2000126334216925,1.269091313371733,7.454974947396621,-1.7388816993725662,2.269874099552393,3.034963004162784,4,4,4,444,12,BEST
17949,1,45,58510.48,0.7326365737214187,1.2383002659680853,7.453107331158478,-1.9285897035179804,2.125481471647191,3.0325044056796147,4,4,4,444,12,BEST
15769,7,26,56252.72,2.4628820811148295,1.2030475110222283,7.435951100377748,-1.2262828243430552,1.9601659544190433,3.009919314528157,4,4,4,444,12,BEST
15061,3,48,54534.14,1.5503074031629458,1.241606504471959,7.422387825778092,-1.596697006231016,2.140985863550376,2.9920641226121347,4,4,4,444,12,BEST
14298,8,44,51527.3,2.6281583978256946,1.2371121363698991,7.39751295841206,-1.1591971456374945,2.1199098146416637,2.9593179352926398,4,4,4,444,12,BEST
14088,10,13,50491.81,2.9169462708580807,1.134337445506824,7.388583249991469,-1.0419781099652208,1.6379545403918434,2.947562539762433,4,4,4,444,12,BEST
15749,235,3,44534.3,8.68826581419661,0.8548971429481507,7.3330503718428,1.3006012522603616,0.3275372915037207,2.874457023118342,1,3,4,134,8,OTHER
12931,21,15,42055.96,3.988141365973054,1.1512286443934012,7.307548376588795,-0.6071798798741489,1.7171647265128058,2.840885261656455,3,4,4,344,11,BEST
17841,1,124,40519.84,0.7326365737214187,1.275769087060282,7.290916564039499,-1.9285897035179804,2.3011890879256565,2.8189905338901586,4,4,4,444,12,BEST
15098,182,3,39916.5,8.095850214284006,0.8548971429481507,7.28419773437224,1.060139682285852,0.3275372915037207,2.8101456202022055,1,3,4,134,8,OTHER
13798,1,57,37153.85,0.7326365737214187,1.2496875382460442,7.25197020050663,-1.9285897035179804,2.1788813494536132,2.7677201131520754,4,4,4,444,12,BEST
16013,3,47,37130.6,1.5503074031629458,1.2405449680260585,7.251688156578957,-1.596697006231016,2.1360078569554273,2.767348820185885,4,4,4,444,12,BEST
16422,17,51,34684.4,3.665835016351975,1.2445738486993179,7.220901106179405,-0.7380040696052623,2.1549010326341307,2.7268196183789586,4,4,4,444,12,BEST
15838,11,19,33643.08,3.0450473352966108,1.1758780099927397,7.207079219672762,-0.9899818710497719,1.8327563343079647,2.708623980267802,4,4,4,444,12,BEST
12748,0,210,33053.19,0.0,1.286542559577009,7.199043628861712,-2.225966985216483,2.3517105913991108,2.698045633937369,4,4,4,444,12,BEST
17404,4,15,31906.82,1.8332270672258142,1.1512286443934012,7.182976722022061,-1.481859877351806,1.7171647265128058,2.676894568756835,4,4,4,444,12,BEST
17389,0,34,31833.68,0.0,1.2220081040976845,7.181930638869518,-2.225966985216483,2.049080430919832,2.6755174665451573,4,4,4,444,12,BEST
